question,reference,prediction,contexts,rag_used,rag_similarity_pct,rag_relative_pct,rag_raw_contexts,rouge1,rouge2,rougeL,bleu
What conditions can cause a patient to appear older than their stated age?,"Chronic illness, malnutrition, substance use disorder.",Conditions such as cancer or sepsis can cause a patient to appear older than their stated age.,"[""Difficulty in swallowing on attempted initiation of swallowing and can occur at any stage of the swallowing process. A symptom that is more common than\n\nappreciated and can be due to many causes. Carcinoma of the oesophagus/ cardia, for example, is the most common cause in the older age group for adults."", ""□ • Conditions that can cause voice production"", ""In ABO and Rhesus incompatibility, jaundice may appear from the first day, whereas in sepsis it may appear any day. It is most likely in babies who are large\n\nor small for their gestational age.\n\n<!-- page: 239 -->""]",True,"[null, null, null]","[100.0, 90.15813434693979, 84.43656614765789]","[""Difficulty in swallowing on attempted initiation of swallowing and can occur at any stage of the swallowing process. A symptom that is more common than\n\nappreciated and can be due to many causes. Carcinoma of the oesophagus/ cardia, for example, is the most common cause in the older age group for adults."", ""□ • Conditions that can cause voice production"", ""In ABO and Rhesus incompatibility, jaundice may appear from the first day, whereas in sepsis it may appear any day. It is most likely in babies who are large\n\nor small for their gestational age.\n\n<!-- page: 239 -->""]",0.0,0.0,0.0,0.0
Why should packing material be moistened before use?,To prevent tissue dehydration and ensure optimal healing conditions.,To prevent dryness and cracking of the skin.,"[""Is food served as planned? If not, why? There may be legitimate and extenuating circumstances why food may not be available on the day of the survey and must be\n\nconsidered before a concern is noted.\n\n<!-- page: 450 -->\n\n______________________________________________________________________"", ""catheter use, determination of which factors can be modified or reversed (or rationale for why those factors should not be modified), and the development of a plan for removal.\n\nThe clinician‘s decision to use an indwelling catheter in the elderly should be based on valid clinical indicators.\n\nFor the resident with an indwelling catheter, the facility‘s documented assessment and staff knowledge of the resident should include information to support the use of an"", ""diluted before use: use: Use undiluted Use undiluted""]",True,"[null, null, null]","[100.0, 90.77906281108757, 84.91248809618348]","[""Is food served as planned? If not, why? There may be legitimate and extenuating circumstances why food may not be available on the day of the survey and must be\n\nconsidered before a concern is noted.\n\n<!-- page: 450 -->\n\n______________________________________________________________________"", ""catheter use, determination of which factors can be modified or reversed (or rationale for why those factors should not be modified), and the development of a plan for removal.\n\nThe clinician‘s decision to use an indwelling catheter in the elderly should be based on valid clinical indicators.\n\nFor the resident with an indwelling catheter, the facility‘s documented assessment and staff knowledge of the resident should include information to support the use of an"", ""diluted before use: use: Use undiluted Use undiluted""]",0.3529,0.1333,0.3529,0.0
Why should Metoprolol be tapered when discontinuing therapy?,Abrupt discontinuation of Metoprolol can cause rebound hypertension and myocardial infarction.,Because Metoprolol can cause hypotension if abruptly discontinued.,"[""It has been shown that there is no physiological reason for discontinuing food during bouts of diarrhoea and that continued nutrition is beneficial. Continued\n\nfeeding should be encouraged."", ""- When a resident refuses to participate in therapy, it is important for care planning purposes to identify why the resident is refusing therapy. However, the time spent investigating the refusal or trying to persuade the resident to participate in treatment is not a skilled service and shall not be included in the therapy minutes."", ""nursing program are met.\n\n- Services provided by therapy aides are not skilled services (see therapy aide section below).\n\n- When a resident refuses to participate in therapy, it is\n\nimportant for care planning purposes to identify why\n\nthe resident is refusing therapy. However, the time\n\nspent investigating the refusal or trying to persuade the resident to participate in treatment is not a skilled\n\nservice and shall not be included in the therapy minutes.""]",True,"[null, null, null]","[100.0, 99.26124475013371, 94.32610002438425]","[""It has been shown that there is no physiological reason for discontinuing food during bouts of diarrhoea and that continued nutrition is beneficial. Continued\n\nfeeding should be encouraged."", ""- When a resident refuses to participate in therapy, it is important for care planning purposes to identify why the resident is refusing therapy. However, the time spent investigating the refusal or trying to persuade the resident to participate in treatment is not a skilled service and shall not be included in the therapy minutes."", ""nursing program are met.\n\n- Services provided by therapy aides are not skilled services (see therapy aide section below).\n\n- When a resident refuses to participate in therapy, it is\n\nimportant for care planning purposes to identify why\n\nthe resident is refusing therapy. However, the time\n\nspent investigating the refusal or trying to persuade the resident to participate in treatment is not a skilled\n\nservice and shall not be included in the therapy minutes.""]",0.4211,0.2353,0.3158,0.0
How to diagnose Amyloidosis and Kidney Disease ?,"A health care provider diagnoses dialysis-related amyloidosis with - urinalysis - blood tests - imaging tests A health care provider can use urinalysis and blood tests to detect the amount of amyloid proteins in urine and blood. Imaging tests, such as x-rays and CT scans, can provide pictures of bone cysts and amyloid deposits in bones, joints, tendons, and ligaments. An x-ray technician performs imaging tests in a health care providers office, an outpatient center, or a hospital. A radiologista doctor who specializes in medical imaginginterprets the images. A patient does not require anesthesia.",The diagnosis of amyloidosis is based on the clinical presentation and laboratory findings. The diagnosis of kidney disease is based on the clinical presentation and laboratory findings.,"[""Kidney disease 371 Low birth weight 90, 184, 187, 188, 190, Kidney(s) 112, 198, 283, 315, 364, 369, 191, 194"", ""pneumonia, chronic kidney disease, open wounds, pressure ulcer/injury, infection, and disorders of fluid, electrolyte, and acid-base balance."", ""difficult to diagnose in HIV-infected patients however.""]",True,"[null, null, null]","[100.0, 90.52873980122514, 76.90746981234585]","[""Kidney disease 371 Low birth weight 90, 184, 187, 188, 190, Kidney(s) 112, 198, 283, 315, 364, 369, 191, 194"", ""pneumonia, chronic kidney disease, open wounds, pressure ulcer/injury, infection, and disorders of fluid, electrolyte, and acid-base balance."", ""difficult to diagnose in HIV-infected patients however.""]",0.1157,0.0,0.0826,0.0
Is Isovaleric acidemia inherited ?,"How is isovaleric acidemia inherited? Isovaleric acidemia is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",The inheritance pattern of isovaleric acidemia is unknown.,"[""Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist""]",True,"[null, null, null]","[100.0, 16.8730958532175, 16.85016841686445]","[""Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist"", ""No meconium is evacuated within the first 24 hours of birth.\n\nThere is green or bilious vomiting.\n\nThere is abdominal distension.\n\nIn older children and adults, suspect bowel obstruction if:\n\nThere is constipation.\n\nThere is abdominal distension.\n\nThere is fever (if advanced obstruction is present).\n\nThere are features of dehydration.\n\nThere are altered bowel sounds.\n\nThere is abdominal pain with vomiting.\n\nIf there is gross abdominal distension with no pain, suspect sigmoid volvulus."", ""- Temperature is greater than 38oC.\n\n- Kidney is palpable.\n\n- Costovertebral tenderness (may suggest renal or perinephric abscess).\n\n- Patient is vomiting.\n\n- Patient compliance is doubtful.\n\n<!-- page: 159 -->""]",0.2188,0.0645,0.125,0.0
What is (are) Breast Cancer ?,"There are two types of breast-conserving surgery -- lumpectomy and partial mastectomy. - Lumpectomy is the removal of the tumor and a small amount of normal tissue around it. A woman who has a lumpectomy almost always has radiation therapy as well. Most surgeons also take out some of the lymph nodes under the arm. Lumpectomy is the removal of the tumor and a small amount of normal tissue around it. A woman who has a lumpectomy almost always has radiation therapy as well. Most surgeons also take out some of the lymph nodes under the arm. - Partial or segmental mastectomy is removal of the cancer, some of the breast tissue around the tumor, and the lining over the chest muscles below the tumor. Often, surgeons remove some of the lymph nodes under the arm. In most cases, radiation therapy follows. Partial or segmental mastectomy is removal of the cancer, some of the breast tissue around the tumor, and the lining over the chest muscles below the tumor. Often, surgeons remove some of the lymph nodes under the arm. In most cases, radiation therapy follows.","Breast cancer is a disease that affects women. It usually occurs in middle-aged and older women. The cause of breast cancer is unknown. Women who have certain risk factors are at higher risk for developing breast cancer. Risk factors include:

  * Family history of breast cancer or ovarian cancer
  * Genetic predisposition (risk)
  * Age
  * Obesity
  * Hormonal changes during pregnancy or menopause
  * Certain medical conditions such as diabetes, chronic kidney disease, or liver disease

Women with these risk factors should talk with their doctor about ways to lower their risk of getting breast cancer.","[""Careful clinical examination is vital before ordering investigations, e.g., axillary lymph nodes in the presence of a breast mass points to cancer of the breast."", ""Mixed incontinence, e.g., (e.g., deep venous thrombosis, breast cancer);\n\ntherefore, topical agents may be preferred estrogen replacement"", ""- Does not affect lactation.\n\n- Lighter shorter periods.\n\n- Decreased breast tenderness.\n\n- Does not increase blood clotting.\n\n- Decreases dysmenorrhoea.\n\n- Protects against endometrial cancer.""]",True,"[null, null, null]","[100.0, 86.75883505850102, 84.34240118814074]","[""Careful clinical examination is vital before ordering investigations, e.g., axillary lymph nodes in the presence of a breast mass points to cancer of the breast."", ""Mixed incontinence, e.g., (e.g., deep venous thrombosis, breast cancer);\n\ntherefore, topical agents may be preferred estrogen replacement"", ""- Does not affect lactation.\n\n- Lighter shorter periods.\n\n- Decreased breast tenderness.\n\n- Does not increase blood clotting.\n\n- Decreases dysmenorrhoea.\n\n- Protects against endometrial cancer.""]",0.1449,0.0073,0.1014,0.0
How do beta-blockers reduce blood pressure?,"They block beta-adrenergic receptors, reducing heart rate and contractility.","They block the action of norepinephrine on sympathetic nerve endings, reducing heart rate and blood pressure.","[""<!-- page: 397 -->\n\nLifestyle and dietary advice.\n\nTreatment observance: do not stop treatment abruptly, particularly if taking beta blockers (risk of malaise, angina).\n\nConsultation in the event of epistaxis, tinnitus, eye floaters; adverse effects of treatment (e.g. cough with AEC\n\ninhibitors, erectile dysfunction with beta blockers, oedema with calcium channel blockers)."", ""Beta-blockers are contraindicated in COPD and asthma.\n\nIf patient fails to respond to the regimens above consider the following:\n\nInadequate patient compliance.\n\nInadequate doses.\n\nDrug antagonism, e.g., ephedrine raises blood pressure.\n\nSecondary forms of hypertension, e.g., pheochromocytoma."", ""(a) The main drugs known to cause sleep problems are corticosteroids, beta blockers, levodopa/carbidopa, fluoxetine, levothyroxine, etc.\n\n<!-- page: 363 -->""]",True,"[null, null, null]","[100.0, 89.53727486171815, 78.47884687793008]","[""<!-- page: 397 -->\n\nLifestyle and dietary advice.\n\nTreatment observance: do not stop treatment abruptly, particularly if taking beta blockers (risk of malaise, angina).\n\nConsultation in the event of epistaxis, tinnitus, eye floaters; adverse effects of treatment (e.g. cough with AEC\n\ninhibitors, erectile dysfunction with beta blockers, oedema with calcium channel blockers)."", ""Beta-blockers are contraindicated in COPD and asthma.\n\nIf patient fails to respond to the regimens above consider the following:\n\nInadequate patient compliance.\n\nInadequate doses.\n\nDrug antagonism, e.g., ephedrine raises blood pressure.\n\nSecondary forms of hypertension, e.g., pheochromocytoma."", ""(a) The main drugs known to cause sleep problems are corticosteroids, beta blockers, levodopa/carbidopa, fluoxetine, levothyroxine, etc.\n\n<!-- page: 363 -->""]",0.4615,0.3333,0.4615,0.0
"What to do for Diabetes, Heart Disease, and Stroke ?","- If you have diabetes, you are at least twice as likely as other people to have heart disease or a stroke. - Controlling the ABCs of diabetesA1C (blood glucose), blood pressure, and cholesterol-can cut your risk of heart disease and stroke. - Choosing foods wisely, quitting smoking, and taking medications (if needed) can all help lower your risk of heart disease and stroke. - If you have any warning signs of a heart attack or a stroke, get medical care immediatelydon't delay. Early treatment of heart attack and stroke in a hospital emergency room can reduce damage to the heart and the brain.","Diabetes, heart disease, and stroke are all serious conditions that require prompt treatment. If you have any of these problems, contact your doctor right away.","[""Untreated hypertension has a high mortality rate due to: renal failure, stroke, coronary artery disease, and heart failure."", ""end-of-life, diabetes, renal disease, fractures, congestive heart failure, nonpressure-related skin ulcers, pain, or fecal impaction."", ""Serious complications of HBP can be acute (hypertensive encephalopathy, left-sided heart failure, acute renal failure)\n\nor delayed i.e. occur after a long period during which HBP has not been controlled (stroke, ischaemic heart disease,\n\nperipheral arterial disease, chronic renal impairment).\n\nFor pregnancy-induced hypertension, see Essential obstetric and newborn care, MSF.""]",True,"[null, null, null]","[100.0, 88.61345259010002, 85.0296909739411]","[""Untreated hypertension has a high mortality rate due to: renal failure, stroke, coronary artery disease, and heart failure."", ""end-of-life, diabetes, renal disease, fractures, congestive heart failure, nonpressure-related skin ulcers, pain, or fecal impaction."", ""Serious complications of HBP can be acute (hypertensive encephalopathy, left-sided heart failure, acute renal failure)\n\nor delayed i.e. occur after a long period during which HBP has not been controlled (stroke, ischaemic heart disease,\n\nperipheral arterial disease, chronic renal impairment).\n\nFor pregnancy-induced hypertension, see Essential obstetric and newborn care, MSF.""]",0.2205,0.096,0.1732,0.0
Why should the patient remain at a 30-degree angle or higher for one hour after feeding?,To prevent aspiration and reflux.,To prevent pressure ulcer formation.,"[""Children and adults: 4 mg/kg once daily for 7 to 10 days Patients should receive a source of glucose (meal, sweet tea) one hour before injection (risk of hypoglycaemia); they\n\nshould remain supine during administration and one hour after injection (risk of hypotension)."", ""repositioning at 2-hour intervals is inadequate. With rare exception (e.g., both sacral and ischial pressure ulcers are present) the resident should not be placed\n\ndirectly on the greater trochanter for more than momentary placement. Elevating the head of the bed or the back of a reclining chair to or above a 30 degree angle\n\ncreates pressure comparable to that exerted while sitting, and requires the same considerations regarding repositioning as those for a dependent resident who is\n\nseated."", ""- Head up 30 degrees, side position to sleep\n\n- Upright after feeding for 30 minutes\n\n- Minimal handling after feeding\n\n- Small frequent feeds\n\n- Thickened feeds""]",True,"[null, null, null]","[100.0, 89.27224570049145, 81.14764540459556]","[""Children and adults: 4 mg/kg once daily for 7 to 10 days Patients should receive a source of glucose (meal, sweet tea) one hour before injection (risk of hypoglycaemia); they\n\nshould remain supine during administration and one hour after injection (risk of hypotension)."", ""repositioning at 2-hour intervals is inadequate. With rare exception (e.g., both sacral and ischial pressure ulcers are present) the resident should not be placed\n\ndirectly on the greater trochanter for more than momentary placement. Elevating the head of the bed or the back of a reclining chair to or above a 30 degree angle\n\ncreates pressure comparable to that exerted while sitting, and requires the same considerations regarding repositioning as those for a dependent resident who is\n\nseated."", ""- Head up 30 degrees, side position to sleep\n\n- Upright after feeding for 30 minutes\n\n- Minimal handling after feeding\n\n- Small frequent feeds\n\n- Thickened feeds""]",0.4,0.25,0.4,0.0
How should a patient store collected stool samples at home before submitting them?,"Follow laboratory instructions, usually in a sealed container at room temperature.",Store the stool samples in a cool place away from heat sources.,"[""Look for the polio virus in stool samples. The virus is excreted for one month after infection, but only intermittently;\n\ntherefore, 2 samples must be collected with an interval of 24-48 hours, and within 14 days of onset of symptoms [2]\n\n. Send the stool samples to a reference laboratory, with a clinical description of the patient. The stool samples must be\n\nstored and transported between 0 °C and 8 °C."", ""Definitive diagnosis relies on parasite identification in stool specimens (trophozoites and cysts for giardia; oocysts for\n\ncryptosporidium, cyclospora, isospora). Two to three samples, collected 2 to 3 days apart are necessary, as pathogens are shed intermittently."", ""Amoebic dysentery: identification of mobile trophozoites (E.histolyticahistolytica) in fresh stool samples""]",True,"[null, null, null]","[100.0, 74.2499215297758, 68.8142853137469]","[""Look for the polio virus in stool samples. The virus is excreted for one month after infection, but only intermittently;\n\ntherefore, 2 samples must be collected with an interval of 24-48 hours, and within 14 days of onset of symptoms [2]\n\n. Send the stool samples to a reference laboratory, with a clinical description of the patient. The stool samples must be\n\nstored and transported between 0 °C and 8 °C."", ""Definitive diagnosis relies on parasite identification in stool specimens (trophozoites and cysts for giardia; oocysts for\n\ncryptosporidium, cyclospora, isospora). Two to three samples, collected 2 to 3 days apart are necessary, as pathogens are shed intermittently."", ""Amoebic dysentery: identification of mobile trophozoites (E.histolyticahistolytica) in fresh stool samples""]",0.1739,0.0952,0.1739,0.0
What are the symptoms of Familial Mediterranean fever ?,"What are the signs and symptoms of Familial Mediterranean fever? Familial Mediterranean fever (FMF) is characterized by relatively short, usually 1- to 3-day, episodes of fever accompanied by abdominal pain, chest pain, joint pain, pelvic pain, muscle aches, and/or a skin rash. The muscle pain is often confused with fibromyalgia and the joint pain is sometimes confused with gout. The pain symptoms are usually the result of inflammation in the lining of the abdomen, lungs, joints, heart, pelvis, and/or in the membrane that surrounds the brain and spinal cord. Headaches and amyloidosis may also occur. The majority of people with FMF experience their first episode by age 20. The frequency of such attacks is highly variable and the interval between attacks ranges from days to years. The frequency and symptoms experienced during an attack may also change over time. People tend to be symptom-free between attacks. The Human Phenotype Ontology provides the following list of signs and symptoms for Familial Mediterranean fever. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abdominal pain 90% Abnormality of temperature regulation 90% Arthralgia 90% Constipation 90% Myalgia 90% Nausea and vomiting 90% Abnormality of the oral cavity 50% Abnormality of the pleura 50% Chest pain 50% Diarrhea 50% Erysipelas 50% Proteinuria 50% Seizures 50% Abnormality of the pericardium 7.5% Acute hepatic failure 7.5% Arrhythmia 7.5% Ascites 7.5% Coronary artery disease 7.5% Edema of the lower limbs 7.5% Gastrointestinal infarctions 7.5% Intestinal obstruction 7.5% Lymphadenopathy 7.5% Malabsorption 7.5% Meningitis 7.5% Nephrocalcinosis 7.5% Nephropathy 7.5% Nephrotic syndrome 7.5% Orchitis 7.5% Osteoarthritis 7.5% Pancreatitis 7.5% Skin rash 7.5% Splenomegaly 7.5% Vasculitis 7.5% Arthritis - Autosomal recessive inheritance - Elevated erythrocyte sedimentation rate - Episodic fever - Hepatomegaly - Leukocytosis - Pericarditis - Peritonitis - Pleuritis - Renal amyloidosis - Renal insufficiency - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Familial Mediterranean fever is a chronic inflammatory disorder characterized by recurrent episodes of fever and joint pain. The signs and symptoms vary among affected individuals but may include fever, fatigue, muscle pain, joint pain, and swollen lymph nodes. In some cases, patients also experience skin rash, arthritis, and/or gastrointestinal problems. The exact cause of familial Mediterranean fever is unknown; however, it appears to involve an interaction between genetic factors and environmental triggers.","[""Genetic or familial diseases.\n\nMedical diseases: Diabetes, cardiac, renal, hypertension, Rhesus, anaemia,\n\nHIV infection."", ""Form Epidemic typhus Murine typhus Mediterranean Rocky Other Old- Scrub typhus"", ""1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?""]",True,"[null, null, null]","[100.0, 98.01991615259278, 96.53803625116231]","[""Genetic or familial diseases.\n\nMedical diseases: Diabetes, cardiac, renal, hypertension, Rhesus, anaemia,\n\nHIV infection."", ""Form Epidemic typhus Murine typhus Mediterranean Rocky Other Old- Scrub typhus"", ""1. What are the medical symptoms that led to the consideration of the use of restraints?\n\n2. Are these symptoms caused by failure to:\n\na. Meet individual needs in accordance with the resident assessments?\n\nb. Use rehabilitative/restorative care?\n\nc. Provide meaningful activities?\n\nd. Manipulate the resident‘s environment, including seating?\n\n3. Can the cause(s) of the medical symptoms be eliminated or reduced?""]",0.1606,0.0595,0.1012,0.0
How does dehydration affect blood volume and blood pressure?,It lowers both.,Dehydration leads to a decrease in blood volume and blood pressure.,"[""This is due to loss of intravascular fluid volume. It results from blood and/or fluid loss and is due to decreased circulating blood volume leading to decreased\n\ndiastolic filling pressure and volumes."", ""- Does not affect lactation.\n\n- Lighter shorter periods.\n\n- Decreased breast tenderness.\n\n- Does not increase blood clotting.\n\n- Decreases dysmenorrhoea.\n\n- Protects against endometrial cancer."", ""Haemoglobin, white blood count, packed cell volume.""]",True,"[null, null, null]","[100.0, 90.52368653318175, 84.96641496859442]","[""This is due to loss of intravascular fluid volume. It results from blood and/or fluid loss and is due to decreased circulating blood volume leading to decreased\n\ndiastolic filling pressure and volumes."", ""- Does not affect lactation.\n\n- Lighter shorter periods.\n\n- Decreased breast tenderness.\n\n- Does not increase blood clotting.\n\n- Decreases dysmenorrhoea.\n\n- Protects against endometrial cancer."", ""Haemoglobin, white blood count, packed cell volume.""]",0.0,0.0,0.0,0.0
What is your address?,Patient provides home address.,The patient's address is provided.,"[""- Validate your understanding of what the resident is saying by asking for clarification. — Example: Say, “I think I hear you saying that…”; “Let’s see if I understood you"", ""Interviewer replies, “You said that your family and close friends aren’t involved right now.\n\nWhen you think about what you would prefer, would you say that it’s very important, somewhat important, not very important, not important at all, or that it is important but you\n\nhave no choice or can’t have them involved in decisions about your care?”"", ""If the resident‘s transferring and ambulating abilities have declined, what evidence is there that the decline was unavoidable:\n\nWhat risk factors for decline of transferring or ambulating abilities did the facility identify (e.g., necrotic area of foot ulcer becoming larger, postural\n\nhypotension)?\n\nWhat care did the resident receive to address risk factors and unique needs to maintain transferring or ambulating abilities (e.g., a transfer board is provided""]",True,"[null, null, null]","[100.0, 89.06647101228249, 87.84699621117909]","[""- Validate your understanding of what the resident is saying by asking for clarification. — Example: Say, “I think I hear you saying that…”; “Let’s see if I understood you"", ""Interviewer replies, “You said that your family and close friends aren’t involved right now.\n\nWhen you think about what you would prefer, would you say that it’s very important, somewhat important, not very important, not important at all, or that it is important but you\n\nhave no choice or can’t have them involved in decisions about your care?”"", ""If the resident‘s transferring and ambulating abilities have declined, what evidence is there that the decline was unavoidable:\n\nWhat risk factors for decline of transferring or ambulating abilities did the facility identify (e.g., necrotic area of foot ulcer becoming larger, postural\n\nhypotension)?\n\nWhat care did the resident receive to address risk factors and unique needs to maintain transferring or ambulating abilities (e.g., a transfer board is provided""]",0.6,0.0,0.4,0.0
What causes Antisynthetase syndrome ?,"What causes antisynthetase syndrome? The exact underlying cause of antisynthetase syndrome is currently unknown. However, it is considered an autoimmune disease. Autoimmune disorders occur when the body's immune system attacks and destroys healthy body tissue by mistake. In antisynthetase syndrome, specifically, the production of autoantibodies (antibodies that attack normal cells instead of disease-causing agents) that recognize and attack certain enzymes in the body called 'aminoacyl-tRNA synthetases' appears to be linked to the cause of the syndrome. Aminoacyl-tRNA synthetases are involved in protein synthesis within the body. The exact role of autoantibodies in causation of antisynthetase syndrome is not yet known.","Antisynthetase syndrome is caused by mutations in the SLC7A1 gene. The SLC7A1 gene provides instructions for making a protein called synthetase. Synthetase is involved in the breakdown of certain molecules, including amino acids, glucose, and fatty acids. Synthetase helps break down these molecules into smaller pieces that can be used by cells. Mutations in the SLC7A1 gene lead to an abnormal amount of synthetase protein. This abnormal protein accumulates in various tissues throughout the body, particularly in the brain. Over time, the accumulation of this protein leads to the development of antisynthetase syndrome.","[""impairment, decline in cognition is often the result of other factors such as delirium, another mental health issue and/or condition, a stroke, and/or dementia. Dementia is not a specific\n\ncondition but a syndrome that may be linked to several causes. According to the Diagnostic and Statistical Manual, Fourth Edition, Text Revision (DSM-IV-TR), the dementia syndrome is"", ""<!-- page: 620 -->\n\nCMS’s RAI Version 3.0 Manual CH 4: CAA Process and Care Planning\n\nAdditional evaluation is then required to identify whether the resident has delirium, dementia, or both; how current symptoms and patterns compare to their usual or previous baseline, whether\n\npotentially reversible causes are present, what else might be needed to identify underlying causes (including medical diagnoses and history), and what symptomatic and cause-specific"", ""Avoid antiemetics.\n\nTreat non obstructive causes appropriately.\n\nInitiate rehydration according to degree of dehydration, using normal saline in the acute phase.\n\nArrange to transfer to surgical unit urgently all children suspected to have gastrointestinal obstruction and gastro-oesophageal reflux disease syndrome.""]",True,"[null, null, null]","[100.0, 96.80353399523507, 93.81396458056045]","[""impairment, decline in cognition is often the result of other factors such as delirium, another mental health issue and/or condition, a stroke, and/or dementia. Dementia is not a specific\n\ncondition but a syndrome that may be linked to several causes. According to the Diagnostic and Statistical Manual, Fourth Edition, Text Revision (DSM-IV-TR), the dementia syndrome is"", ""<!-- page: 620 -->\n\nCMS’s RAI Version 3.0 Manual CH 4: CAA Process and Care Planning\n\nAdditional evaluation is then required to identify whether the resident has delirium, dementia, or both; how current symptoms and patterns compare to their usual or previous baseline, whether\n\npotentially reversible causes are present, what else might be needed to identify underlying causes (including medical diagnoses and history), and what symptomatic and cause-specific"", ""Avoid antiemetics.\n\nTreat non obstructive causes appropriately.\n\nInitiate rehydration according to degree of dehydration, using normal saline in the acute phase.\n\nArrange to transfer to surgical unit urgently all children suspected to have gastrointestinal obstruction and gastro-oesophageal reflux disease syndrome.""]",0.3959,0.0821,0.2234,0.0
What is afterload?,The resistance the heart must overcome to eject blood.,"Afterload refers to the force exerted on the heart by blood pressure during exercise or when the heart contracts. It increases with increased blood volume, which can cause the heart to beat faster and pump harder.","[""- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I"", ""records-ehrs.\n\n4 Office of the National Coordinator, What is a patient portal? Available from https://www.healthit.gov/faq/what-\n\npatient-portal, Accessed June 10, 2019."", ""What is pressure? movements to relieve the load and restore""]",True,"[null, null, null]","[100.0, 94.90926315648638, 94.57429802353002]","[""- For C0300 items, instructions should be written as: — C0300A: “Please tell me what year it is right now.” — C0300B: “What month are we in right now?” — C0300C: “What day of the week is today?”\n\n- For C0400 items, instructions should be written as: — “Let’s go back to an earlier question. What were those three words that I"", ""records-ehrs.\n\n4 Office of the National Coordinator, What is a patient portal? Available from https://www.healthit.gov/faq/what-\n\npatient-portal, Accessed June 10, 2019."", ""What is pressure? movements to relieve the load and restore""]",0.2222,0.0465,0.1778,0.0
What signs indicate that a wound is not ready for staple removal?,"Signs include redness, swelling, drainage, and non-approximated edges.","The wound has not healed properly, and it is still painful.","[""- Surgical wound care may include any intervention for treating or protecting any type of surgical wound. Examples may include topical cleansing, wound irrigation, application of antimicrobial ointments, application of dressings of any type, suture/staple removal, and warm soaks or heat application."", ""Wounds that do not fill the above conditions should not be immediately sutured.\n\nAfter cleaning, exploration and excision a simple dressing is applied to the open wound.\n\nFurther cleaning and removal of any remaining necrotic tissue is completed with daily dressing changes.\n\nIf after 72 hours there are no signs of local infection, the wound may be sutured."", ""pink area = process of epithelisation, the final stage of healing that begins at the edges of the wound\n\nIn the case of a sutured wound, the existence of local signs of suppuration and pain requires the removal of one or\n\nmore sutures to avoid the infection spreading. Local signs include:""]",True,"[null, null, null]","[100.0, 87.55052593413335, 84.08556899024757]","[""- Surgical wound care may include any intervention for treating or protecting any type of surgical wound. Examples may include topical cleansing, wound irrigation, application of antimicrobial ointments, application of dressings of any type, suture/staple removal, and warm soaks or heat application."", ""Wounds that do not fill the above conditions should not be immediately sutured.\n\nAfter cleaning, exploration and excision a simple dressing is applied to the open wound.\n\nFurther cleaning and removal of any remaining necrotic tissue is completed with daily dressing changes.\n\nIf after 72 hours there are no signs of local infection, the wound may be sutured."", ""pink area = process of epithelisation, the final stage of healing that begins at the edges of the wound\n\nIn the case of a sutured wound, the existence of local signs of suppuration and pain requires the removal of one or\n\nmore sutures to avoid the infection spreading. Local signs include:""]",0.1,0.0,0.1,0.0
