question,reference,prediction,rouge1,rouge2,rougeL,bleu
What should be done if a patient misses a dose of tetracycline?,Take it as soon as possible unless it is close to the next dose; do not double up.,"Take it as soon as remembered, but do not double the dose.",0.6667,0.4286,0.5333,0.0
What is a scar?,A scar is collagen-rich skin formed during the wound healing process.,A scar is a fibrous tissue that replaces damaged tissue and provides strength and flexibility to the skin.,0.3333,0.1429,0.2667,0.0
What dietary recommendations help prevent pressure injuries?,"A balanced diet rich in protein, fluids, and essential nutrients to promote skin integrity and healing.","Adequate protein, fluids, and a balanced diet.",0.5217,0.381,0.2609,0.0
How many people are affected by myoclonic epilepsy myopathy sensory ataxia ?,The prevalence of myoclonic epilepsy myopathy sensory ataxia is unknown.,MMSA is a rare disorder; its prevalence is unknown.,0.3158,0.1176,0.3158,0.0
How should the stoma be cleaned?,"Using sterile gauze and saline, wiping in a circular motion outward from the stoma.","Using a sterile gauze pad and water, then patting dry.",0.4167,0.0909,0.3333,0.0
"What is (are) autoimmune polyglandular syndrome, type 1 ?","Autoimmune polyglandular syndrome, type 1 is an inherited condition that affects many of the body's organs. It is one of many autoimmune diseases, which are disorders that occur when the immune system malfunctions and attacks the body's tissues and organs by mistake. In most cases, the signs and symptoms of autoimmune polyglandular syndrome, type 1 begin in childhood or adolescence. This condition is characterized by three specific features: mucocutaneous candidiasis, hypoparathyroidism, and Addison disease. Affected individuals typically have at least two of these features, and many have all three. Mucocutaneous candidiasis is a fungal infection that affects the skin and mucous membranes, such as the moist lining of the nose and mouth. In children with autoimmune polyglandular syndrome, type 1, these infections last a long time and tend to recur. Many affected children also develop hypoparathyroidism, which is a malfunction of the parathyroid glands. These glands secrete a hormone that regulates the body's use of calcium and phosphorus. Hypoparathyroidism can cause a tingling sensation in the lips, fingers, and toes; muscle pain and cramping; weakness; and fatigue. The third major feature, Addison disease, results from a malfunction of the small hormone-producing glands on top of each kidney (adrenal glands). The main features of Addison disease include fatigue, muscle weakness, loss of appetite, weight loss, low blood pressure, and changes in skin coloring. Autoimmune polyglandular syndrome, type 1 can cause a variety of additional signs and symptoms, although they occur less often. Complications of this disorder can affect the skin and nails, the gonads (ovaries and testicles), the eyes, a butterfly-shaped gland at the base of the neck called the thyroid, and the digestive system. Type 1 diabetes also occurs in some patients with this condition.","Autoimmune polyglandular syndrome, type 1 (APS1) is a disorder that affects the endocrine glands, which are specialized organs that produce hormones. The endocrine glands include the thyroid, parathyroid, adrenal, and pancreas. The signs and symptoms of APS1 vary widely among affected individuals. In some people, the disorder causes no signs or symptoms. In others, the disorder can cause serious health problems. APS1 is caused by mutations in the PRKACA gene and is inherited in an autosomal dominant manner. Treatment is based on the signs and symptoms present in each person.",0.3211,0.1111,0.1895,0.0
What is the Mini-Nutritional Assessment Short-Form used for?,It screens older adults for malnutrition or risk of malnutrition.,It is used to assess nutritional status in hospitalized patients.,0.1,0.0,0.1,0.0
What are the symptoms of Tetra-amelia syndrome ?,"What are the signs and symptoms of Tetra-amelia syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Tetra-amelia syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the outer ear 90% Amelia 90% Aplasia/Hypoplasia involving the nose 90% Aplasia/Hypoplasia of the lungs 90% Hydrocephalus 90% Oral cleft 90% Polyhydramnios 90% Abnormal lung lobation 50% Abnormal vertebral ossification 50% Abnormality of the larynx 50% Abnormality of the ribs 50% Abnormality of the sense of smell 50% Aplasia/Hypoplasia of the corpus callosum 50% Aplasia/Hypoplasia of the nipples 50% Cataract 50% Cryptorchidism 50% Iris coloboma 50% Microcornea 50% Multicystic kidney dysplasia 50% Narrow mouth 50% Optic atrophy 50% Septo-optic dysplasia 50% Tracheal stenosis 50% Urogenital fistula 50% Abnormality of the diaphragm - Absent external genitalia - Adrenal gland agenesis - Anal atresia - Asplenia - Autosomal recessive inheritance - Choanal atresia - Cleft palate - Cleft upper lip - Gastroschisis - Heterogeneous - Hypoplasia of the fallopian tube - Hypoplastic pelvis - Low-set ears - Microphthalmia - Peripheral pulmonary vessel aplasia - Pulmonary hypoplasia - Renal agenesis - Single naris - Single umbilical artery - Tetraamelia - Urethral atresia - Vaginal atresia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Tetra-amelia syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Tetra-amelia syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the metacarpal bones 90% Abnormality of the metaphyses 90% Abnormality of the ribs 90% Aplasia/Hypoplasia of the lungs 90% Aplasia/Hypoplasia of the thumb 90% Aplasia/Hypoplasia of the uterus 90% Aplasia/Hypoplasia of the uterus 50% Aplasia/Hypoplasia of the uterus 33% Aplasia/Hypoplasia of the uterus 25% Aplasia/Hypoplasia of the uterus 11% Aplasia/Hypoplasia of the uterus 7.5% Aplasia/Hypoplasia of the uterus 5% Aplasia/Hypoplasia of the uterus 3% Aplasia/Hypoplasia of",0.4648,0.3824,0.4229,0.0
How can a nurse reduce patient discomfort during tracheostomy care?,"By explaining the procedure, using gentle movements, and providing oxygen as needed.","By using a gentle approach, explaining the procedure, and providing reassurance.",0.6957,0.2857,0.5217,0.0
What are the effects of untreated hypercapnia?,"Respiratory arrest, worsening sedation, and cardiovascular instability.",It can lead to respiratory acidosis and hypoxia.,0.2667,0.0,0.2667,0.0
How should an unresponsive patient be assessed?,"Check ABCs (Airway, Breathing, Circulation), perform a GCS, and assess for reflexes.",Use a Glasgow Coma Scale (GCS) to assess level of consciousness.,0.2609,0.0,0.2609,0.0
What is the duration of action for intermediate-acting insulin?,It lasts up to 24 hours.,4-6 hours.,0.2222,0.0,0.2222,0.0
What is (are) Kidney Failure: Eat Right to Feel Right on Hemodialysis ?,"Before you were on dialysis, your doctor may have told you to follow a low-protein diet. Being on dialysis changes this. Most people on dialysis are encouraged to eat as much high-quality protein as they can. Protein helps you keep muscle and repair tissue. The better nourished you are, the healthier you will be. You will also have greater resistance to infection and recover from surgery more quickly. Your body breaks protein down into a waste product called urea. If urea builds up in your blood, it's a sign you have become very sick. Eating mostly high-quality proteins is important because they produce less waste than others. High-quality proteins come from meat, fish, poultry, and eggs (especially egg whites). Talk With a Dietitian Meat, fish, and chicken are good sources of protein. Talk with a dietitian about the meats you eat. I will eat ______ servings of meat each day. A regular serving size is 3 ounces. This is about the size of the palm of your hand or a deck of cards. Try to choose lean (low-fat) meats that are also low in phosphorus. If you are a vegetarian, ask about other ways to get your protein. Low-fat milk is a good source of protein. But milk is high in phosphorus and potassium. And milk adds to your fluid intake. Talk with a dietitian to see if milk fits into your food plan. I (will) (will not) drink milk. I will drink ______ cup(s) of milk a day.","The kidneys filter wastes and extra fluid from your blood. When your kidneys fail, you need a dialysis machine to do the filtering. Hemodialysis is a type of dialysis that uses a machine to filter your blood. The machine is called a dialyzer. The dialyzer is connected to a tube called a fistula, which is a connection between your arm and the dialyzer. The fistula is made by connecting your arm to the dialyzer with a small tube. The tube is placed in your arm and then sewn into your arm. The fistula lets blood flow from your arm to the dialyzer. The dialyzer removes wastes and extra fluid from your blood. The dialyzer then sends the filtered blood back to your body. The dialyzer is connected to a tube called a graft, which is a connection between your body and the dialyzer. The graft is made by connecting your body to the dialyzer with a small tube. The tube is placed in your body and then sewn into your body. The graft lets blood flow from your body to the dialyzer. The dialyzer removes wastes and extra fluid from your blood. The dialyzer then sends the filtered blood back to your body. The dialyzer is",0.2603,0.0349,0.1475,0.0
What is a second-generation antipsychotic example?,Risperidone.,Aripiprazole (Abilify).,0.0,0.0,0.0,0.0
What is (are) Neurocutaneous melanosis ?,"Neurocutaneous melanosis (NCM) is a rare, non-inherited condition of the central nervous system. It is characterized by melanocytic nevi in both the skin and the brain. Two-thirds of people with NCM have giant congenital melanocytic nevi, and the remaining one-third have numerous lesions but no giant lesions. Most patients present with neurological features early in life, which can be secondary to intracranial hemorrhages (bleeding in the brain), impairment of cerebrospinal fluid circulation (fluid around the brain and spinal cord), and/or malignant transformation of the melanocytes. The prognosis of patients with symptomatic neurocutaneous melanosis is extremely poor, even in the absence of malignancy. Chemotherapy has been ineffective in the few patients in whom it has been tried.","Neurocutaneous melanosis is a rare condition that affects the skin, nervous system, and other parts of the body. The most common features of this condition are patches of dark-colored skin (hyperpigmentation) and a variety of neurological problems. The hyperpigmentation is usually found on the face, neck, and upper arms. It may also occur on the hands and feet. The neurological problems associated with neurocutaneous melanosis can include seizures, movement disorders, and problems with vision, hearing, and speech. Other features of this condition may include a small number of noncancerous (benign) tumors called melanocytic nevi. These tumors are usually found on the skin and may be present at birth or develop during childhood.",0.3605,0.0866,0.206,0.0
How does active listening differ from passive listening?,"Active listening includes verifying understanding, while passive listening assumes comprehension without verification.","Active listening involves verbal and nonverbal cues to show engagement, while passive listening only hears the speaker without responding.",0.3871,0.2069,0.3871,0.0
What is the chemical difference between norepinephrine and epinephrine?,Epinephrine has an additional methyl group (-CH3),Epinephrine is a more potent hormone.,0.1538,0.0,0.1538,0.0
Where are common sites for subcutaneous injections?,"Anterior thighs, abdomen","The abdomen, upper arms, and upper thighs.",0.4,0.0,0.2,0.0
What is the name of the American Nurses Association’s tool for CAUTI prevention?,Streamlined Evidence-Based RN Tool: Catheter Associated Urinary Tract Infection (CAUTI) Prevention.,The National Healthcare Quality and Disparities Report (NHQR),0.0,0.0,0.0,0.0
What should be done if an adventitious lung sound is heard?,"Document the finding, compare bilaterally, and notify the provider if necessary.","Document the sound, its location, and any associated symptoms.",0.3,0.1111,0.3,0.0
Who is at risk for Respiratory Failure? ?,"People who have diseases or conditions that affect the muscles, nerves, bones, or tissues that support breathing are at risk for respiratory failure. People who have lung diseases or conditions also are at risk for respiratory failure. For more information, go to ""What Causes Respiratory Failure?""","Respiratory failure is a serious condition that can occur in people of all ages. It is more common in older adults, people with chronic lung diseases, and people who have had recent surgery or trauma.
                
People who have chronic lung diseases, such as asthma, COPD, and cystic fibrosis, are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery or trauma also are at higher risk for respiratory failure.
                
People who have had recent surgery",0.247,0.1365,0.2072,0.0
What are the genetic changes related to nonsyndromic paraganglioma ?,"The VHL, RET, SDHB, and SDHD genes can be mutated in both syndromic and nonsyndromic forms of paraganglioma and pheochromocytoma. Mutations in at least three additional genes, TMEM127, SDHA, and KIF1B, have been identified in people with the nonsyndromic form of these conditions. Gene mutations increase the risk of developing paraganglioma or pheochromocytoma by affecting control of cell growth and division. Mutations in the VHL, SDHA, SDHB, and SDHD genes increase the risk of developing nonsyndromic paraganglioma or pheochromocytoma. The protein produced from the VHL gene helps break down other, unneeded proteins, including a protein called HIF that stimulates cell division and blood vessel formation under certain cellular conditions. The proteins produced from the SDHA, SHDB, and SDHD genes are each pieces (subunits) of an enzyme that is important for energy production in the cell. This enzyme also plays a role in the breakdown of the HIF protein. Mutations in the VHL, SDHA, SDHB, and SDHD genes stabilize the HIF protein, causing it to build up in cells. Excess HIF protein stimulates cells to divide and triggers the production of blood vessels when they are not needed. Rapid and uncontrolled cell division, along with the formation of new blood vessels, can lead to the development of tumors. Mutations in the RET gene have been found in nonsyndromic pheochromocytoma in addition to a pheochromocytoma-predisposing syndrome. The protein produced from the RET gene is involved in signaling within cells that can stimulate cell division or maturation. Mutations in the RET gene overactivate the protein's signaling function, which can trigger cell growth and division in the absence of signals from outside the cell. This unchecked cell division can lead to the formation of tumors in the adrenal glands. Mutations in the TMEM127 gene have been identified most commonly in people with nonsyndromic pheochromocytoma and are rarely seen in people with other paraganglioma. The TMEM127 protein normally controls a signaling pathway that induces cell growth and survival. Studies suggest that mutations in the TMEM127 gene lead to abnormal activation of cell growth, which may cause tumor formation. Mutations in the KIF1B gene have been reported in nonsyndromic pheochromocytoma. Studies suggest that these mutations impair the function of the KIF1B protein, which normally triggers cells to self-destruct in a process called apoptosis. When apoptosis is impaired, cells grow and divide too quickly or in an uncontrolled way, potentially leading to tumor formation. Many people with nonsyndromic paraganglioma or pheochromocytoma do not have a mutation in any of the genes associated with the conditions. It is likely that other, unidentified genes also predispose to development of paraganglioma or pheochromocytoma.","Mutations in the SDHB, SDHAF2, SDHAF3, SDHA, SDHC, SDHD, SDHAF1, and SDHAF4 genes can cause nonsyndromic paraganglioma. These genes provide instructions for making proteins that are involved in the production of energy in cells. The SDH complex is a group of proteins that work together to produce energy in cells. The SDH complex is found in cells throughout the body, but it is particularly important in cells that produce and release hormones. Mutations in any of these genes can lead to the production of an SDH complex that is unstable and cannot perform its function. As a result, cells are unable to produce energy, which can lead to cell death. The loss of cells in the paraganglia can cause the signs and symptoms of nonsyndromic paraganglioma.",0.3167,0.0964,0.1851,0.0
what research (or clinical trials) is being done for Trigeminal Neuralgia ?,"Within the NINDS research programs, trigeminal neuralgia is addressed primarily through studies associated with pain research. NINDS vigorously pursues a research program seeking new treatments for pain and nerve damage with the ultimate goal of reversing debilitating conditions such as trigeminal neuralgia. NINDS has notified research investigators that it is seeking grant applications both in basic and clinical pain research.","The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to trigeminal neuralgia in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure neurological disorders such as trigeminal neuralgia.",0.304,0.065,0.208,0.0
What is (are) Pituitary Tumors ?,"The pituitary is a small, bean-sized gland that is below the hypothalamus, a structure at the base of the brain, by a thread-like stalk that contains both blood vessels and nerves. It controls a system of hormones in the body that regulate growth, metabolism, the stress response, and functions of the sex organs via the thyroid gland, adrenal gland, ovaries, and testes. A pituitary tumor is an abnormal growth of cells within the pituitary gland. Most pituitary tumors are benign, which means they are non-cancerous, grow slowly and do not spread to other parts of the body; however they can make the pituitary gland produce either too many or too few hormones, which can cause problems in the body. Tumors that make hormones are called functioning tumors, and they can cause a wide array of symptoms depending upon the hormone affected. Tumors that dont make hormones are called non-functioning tumors. Their symptoms are directly related to their growth in size and include headaches, vision problems, nausea, and vomiting. Diseases related to hormone abnormalities include Cushings disease, in which fat builds up in the face, back and chest, and the arms and legs become very thin; and acromegaly, a condition in which the hands, feet, and face are larger than normal. Pituitary hormones that impact the sex hormones, such as estrogen and testosterone, can make a woman produce breast milk even though she is not pregnant or nursing, or cause a man to lose his sex drive or lower his sperm count. Pituitary tumors often go undiagnosed because their symptoms resemble those of so many other more common diseases.","The pituitary gland is a small, pea-shaped gland at the base of the brain. It makes hormones that control many body functions. Pituitary tumors are rare. They can be benign (noncancerous) or malignant (cancerous). Benign tumors are more common. They can press on the pituitary gland and cause problems with hormone production. Malignant tumors are less common. They can be life-threatening. Symptoms of pituitary tumors include - Headaches - Vision problems - Nausea - Vomiting - Problems with sexual function - Problems with the menstrual cycle - Problems with the thyroid gland - Problems with the adrenal glands - Problems with the kidneys - Problems with the heart - Problems with the nervous system - Problems with the eyes - Problems with the skin - Problems with the mouth - Problems with the hands and feet - Problems with the balance and coordination of the body - Problems with the sense of smell - Problems with the sense of taste - Problems with the ability to think clearly - Problems with the ability to remember - Problems with the ability to control the bladder and bowels - Problems with the ability to walk - Problems with the ability to talk - Problems with the ability to see - Problems with the ability to hear - Problems with the ability to taste - Problems with the ability to smell - Problems with the ability to",0.3667,0.1255,0.2042,0.0
How does aldosterone affect potassium levels?,It increases potassium excretion.,It promotes potassium retention in the kidneys.,0.3636,0.0,0.3636,0.0
What are the genetic changes related to congenital insensitivity to pain ?,"Mutations in the SCN9A gene cause congenital insensitivity to pain. The SCN9A gene provides instructions for making one part (the alpha subunit) of a sodium channel called NaV1.7. Sodium channels transport positively charged sodium atoms (sodium ions) into cells and play a key role in a cell's ability to generate and transmit electrical signals. NaV1.7 sodium channels are found in nerve cells called nociceptors that transmit pain signals to the spinal cord and brain. The NaV1.7 channel is also found in olfactory sensory neurons, which are nerve cells in the nasal cavity that transmit smell-related signals to the brain. The SCN9A gene mutations that cause congenital insensitivity to pain result in the production of nonfunctional alpha subunits that cannot be incorporated into NaV1.7 channels. As a result, the channels cannot be formed. The absence of NaV1.7 channels impairs the transmission of pain signals from the site of injury to the brain, causing those affected to be insensitive to pain. Loss of this channel in olfactory sensory neurons likely impairs the transmission of smell-related signals to the brain, leading to anosmia.","Mutations in the SCN9A gene cause congenital insensitivity to pain. The SCN9A gene provides instructions for making a protein called a voltage-gated sodium channel. This channel is found in nerve cells (neurons) in the spinal cord and brain. The channel is involved in the transmission of nerve impulses, which are electrical signals that travel through the body and carry information about sensations such as pain, touch, and temperature. Mutations in the SCN9A gene lead to the production of a sodium channel that is unable to transport positively charged sodium atoms (ions) into neurons. As a result, the channel is unable to open and close normally, which disrupts the transmission of nerve impulses. The abnormal sodium channels are particularly sensitive to changes in the electrical charge of the neuron. As a result, the sodium channels are open for longer periods of time than normal, which leads to the abnormal transmission of nerve impulses. The abnormal transmission of nerve impulses is thought to cause the pain abnormalities seen in people with congenital insensitivity to pain.",0.6133,0.3278,0.3812,0.0
What are the symptoms of Bare lymphocyte syndrome 2 ?,"What are the signs and symptoms of Bare lymphocyte syndrome 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Bare lymphocyte syndrome 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Agammaglobulinemia - Autosomal dominant inheritance - Autosomal recessive inheritance - Biliary tract abnormality - Chronic lymphocytic meningitis - Chronic mucocutaneous candidiasis - Colitis - Cutaneous anergy - Encephalitis - Failure to thrive - Malabsorption - Neutropenia - Panhypogammaglobulinemia - Protracted diarrhea - Recurrent bacterial infections - Recurrent fungal infections - Recurrent lower respiratory tract infections - Recurrent protozoan infections - Recurrent upper respiratory tract infections - Recurrent urinary tract infections - Recurrent viral infections - Villous atrophy - Viral hepatitis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Bare lymphocyte syndrome 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Bare lymphocyte syndrome 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the immune system 90% Abnormality of the palate 90% Abnormality of the respiratory system 90% Abnormality of the voice 90% Aplasia/Hypoplasia of the lungs 90% Cognitive impairment 90% Cryptorchidism 90% Epicanthus 90% Hypertelorism 90% Hypoplasia of the zygomatic bone 90% Low-set, posteriorly rotated ears 90% Microcephaly 90% Narrow mouth 90% Narrow palate 90% Pectus excavatum 90% Short nose 90% Short stature 90% Abnormality of the palate - Autosomal recessive inheritance - Broad forehead - Broad nasal tip - Broad nasal tip -",0.4182,0.347,0.3955,0.0
What is (are) Wilson Disease ?,"Wilson disease is a genetic disease that prevents the body from removing extra copper. The body needs a small amount of copper from food to stay healthy; however, too much copper is poisonous. Normally, the liver filters extra copper and releases it into bile. Bile is a fluid made by the liver that carries toxins and wastes out of the body through the gastrointestinal tract. In Wilson disease, the liver does not filter copper correctly and copper builds up in the liver, brain, eyes, and other organs. Over time, high copper levels can cause life-threatening organ damage.","Wilson disease is a rare, inherited disorder that causes too much copper to build up in the body. The disorder affects the liver, brain, and other organs. It is caused by a shortage of a protein called ceruloplasmin, which helps move copper from the blood into the liver. The disorder is characterized by a buildup of copper in the liver, brain, and other organs. The buildup causes damage to these organs. Wilson disease can affect any organ in the body, but the liver and brain are most commonly affected. The disorder can also affect the eyes, kidneys, skin, and other organs. The signs and symptoms of Wilson disease vary widely. Some people have no symptoms, while others have severe symptoms. The disorder can be mild or life-threatening.",0.4956,0.1875,0.292,0.0
Is carnitine palmitoyltransferase II deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",1.0,1.0,1.0,0.0
What are the symptoms of Charcot-Marie-Tooth disease type 2F ?,"What are the signs and symptoms of Charcot-Marie-Tooth disease type 2F? The subtypes of Charcot-Marie-Tooth type 2, including type 2F, have similar signs and symptoms. Affected individuals usually become symptomatic between the ages of 5 and 25, though onset can range from infancy to after the third decade of life. The most common first symptom is weakness of the feet and ankles, followed by slowly progressive weakness and atrophy of distal muscles in the feet and/or hands. Individuals often have decreased tendon reflexes and mild or no sensory loss. Adults with CMT2 often have bilateral foot drop, symmetric atrophy of muscles below the knee (stork leg appearance) and absent tendon reflexes in the legs. Mild sensory deficits of position, vibration, pain or temperature may occur in the feet, or sensation may be intact. Pain (especially in the feet) is reported by about 20%-40% of affected individuals. Other features that may be associated with CMT2 in a few individuals include hearing impairment; vocal cord or phrenic nerve involvement (which may result in difficulty with speech or breathing); restless legs; and sleep apnea. CMT2 is progressive over many years, but affected individuals often experience long periods without obvious progression. In some individuals, the condition may be so mild that it goes unrecognized. Affected individuals have a normal life span. The Human Phenotype Ontology provides the following list of signs and symptoms for Charcot-Marie-Tooth disease type 2F. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Areflexia - Autosomal dominant inheritance - Chronic axonal neuropathy - Decreased motor nerve conduction velocity - Distal amyotrophy - Distal muscle weakness - Distal sensory impairment - Fasciculations - Foot dorsiflexor weakness - Hyporeflexia - Muscle cramps - Pes cavus - Steppage gait - Ulnar claw - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Charcot-Marie-Tooth disease type 2F? The Human Phenotype Ontology provides the following list of signs and symptoms for Charcot-Marie-Tooth disease type 2F. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Decreased nerve conduction velocity - Distal amyotrophy - Distal muscle weakness - Distal sensory impairment - Distal sensory neuropathy - Foot dorsiflexor weakness - Foot dorsiflexor wasting - Foot hyporeflexia - Foot weakness - Hammertoe - Hyporeflexia - Pes cavus - Pes planus - Pes planus with hammertoe - Pes valgus - Pes valgus with hammertoe - Pes cavus with hammertoe - Pes cavus with hammertoe and pes planus - Pes cavus with hammertoe and pes valgus - Pes cavus with hammertoe and pes valgus - Pes valgus with hammertoe - Pes valgus with hammertoe and pes cavus - Pes valgus with hammertoe and pes planus - Pes valgus with",0.3458,0.2844,0.3084,0.0
What are the risks of self-medicating with antibiotics?,"It can lead to resistance, allergic reactions, and ineffective treatment of infections.",Self-medicating can lead to antibiotic resistance and ineffective treatment.,0.6364,0.4,0.6364,0.0
What are the treatments for ethylmalonic encephalopathy ?,These resources address the diagnosis or management of ethylmalonic encephalopathy: - Baby's First Test - Genetic Testing Registry: Ethylmalonic encephalopathy - MedlinePlus Encyclopedia: Skin discoloration - bluish These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,These resources address the diagnosis or management of ethylmalonic encephalopathy: - Gene Review: Gene Review: Ethylmalonic Encephalopathy - Genetic Testing Registry: Ethylmalonic encephalopathy - MedlinePlus Encyclopedia: Encephalopathy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.86,0.8163,0.86,0.0
Why should the patient breathe through their mouth when using a nebulizer?,To ensure the medication reaches the lungs effectively.,To ensure proper medication delivery and prevent aspiration.,0.375,0.1429,0.375,0.0
What dietary restrictions are common among Buddhist patients?,Many Buddhists follow a strict vegetarian diet and avoid medications derived from animals.,"Buddhist patients may avoid meat, fish, and alcohol.",0.2857,0.0,0.1905,0.0
What is (are) Congenital bilateral absence of the vas deferens ?,"Congenital bilateral absence of the vas deferens (CBAVD) occurs in males when the tubes that carry sperm out of the testes (vas deferens) fail to develop properly. Although the testes usually develop and function normally, sperm cannot be transported through the vas deferens to become part of semen. As a result, men with this condition are unable to father children (infertile) unless they use assisted reproductive technologies. This condition has not been reported to affect sex drive or sexual performance. This condition can occur alone or as a sign of cystic fibrosis, an inherited disease of the mucus glands. Many men with CBAVD do not have the other characteristic features of cystic fibrosis; however, some men with this condition may experience mild respiratory or digestive problems.","Congenital bilateral absence of the vas deferens (CBAVD) is a condition that affects males. CBAVD is characterized by the absence of the vas deferens, which is the tube that carries sperm from the testicles to the urethra. The vas deferens is present in all males at birth, but it may be absent in some males. CBAVD is caused by a mutation in the CFTR gene and is inherited in an autosomal recessive manner. Treatment is based on the signs and symptoms present in each person.",0.3602,0.1435,0.218,0.0
What is (are) Heart Failure ?,More detailed information on heart failure is available at http://www.nhlbi.nih.gov/health/dci,"Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. It is a common condition in the United States.
                
Heart failure can affect anyone, but it's more common in older adults. It also is more common in people who have other heart problems or diseases.
                
Overview
                
The heart has two sides: the left side and the right side. The left side of the heart pumps blood to the rest of the body. The right side of the heart pumps blood to the lungs to pick up oxygen.
                
The heart has four chambers: two upper chambers called the atria (AT-ree-uh) and two lower chambers called the ventricles (VEN-tri-kles). Blood flows from the atria to the ventricles and then to the lungs or to the rest of the body.
                
The heart also has valves that control blood flow. The valves ensure that blood flows in one direction through the heart.
                
Heart failure occurs when the heart can't pump enough blood to meet the body's needs. This can happen if the heart muscle becomes weak and can't pump blood well.
                
Heart failure also can occur if",0.0461,0.0186,0.0369,0.0
